N	S	Text	Imperative
1	М	Алё!	
1	Ж	(Юр), привет!	
1	М	Привет, (Гур])!	
1	Ж	Есть пять сек поболтать? 	
1	М	[Есть].	
1	Ж	Помнишь, тогда, это, мы с тобой распластались из-за (Маринки), вот хохлушка (Маринка) на рынке-то?	помнишь, распластались
1	М	Ну, [чё-то такое было].	
1	Ж	Ну, Венерская соседка. Девятнадцатого числа, м-м, это, Паска была. Э, у-, у-, помнишь, я те тогда звонила, (Коля) у (Венера), друг там, это, начальник банка-то? Мозги там ему сделала, (Коля) щас живёт у него. Помнишь, ты гришь ещё, пошли они на хуй гово-, это, ты говоришь, это, внимание не обращайте.	помнишь, звонила. живёт. помнишь, гришь, пошли, говоришь, не, обращайте
1	М	Ну.	
1	Ж	Помнишь? Короче, смотри, вот чё щас. Девятнадцатого числа Паска была, это, и ко-, (Коля) у, у (Венера) живёт. Ему хуёво. Ну, баба кинула его.	помнишь. смотри. живёт
1	М	Ну, (нрзб.).	
1	Ж	Вот. И, и это, ну, пока э-, у-, он у (Венера) живёт. Она девятнадцатого числа, они включили музыку, там, это, в бильярд играли, да, э, ну, (Венер) ушёл спать, (Коля) там тоже вырубился, уснул, музыка играла. Она вызвала ментов.	живёт
1	М	Охуеть!	
1	Ж	Н-, н-, ну, э-, э-, это, э, в смысле, дело нь-, не в этом, да, а просто…	
1	М	Ну, ну, ну.	
1	Ж	… я щас звоню, я грю, (Мариш), ты, что ль, вызвала? Она грит, а те какая, хуй, разница. Я вызвала или кто вызвал. Они заебали типа это. Ну, я грю, ты мне позвони или это, ну, к-, как-то, ну, а чё, грит, ты мне звонишь? Я грю, если о-, о-, они там ведут себя не так, а ты, грю, это, таджика, блядь, водишь там. Заебал он тоже вот, честно, (Юр). Он заебал, этот таджик, он чё там вытворяет у них. Вот в одном дворе вот я тебе говорю, ты как смотрящий у нас. Вот заебал он уже тоже, блядь. Я не плачу перед тобой и не прошу тебя, но чё мне вот щас делать? Вот я ей звоню, я грю, ты на хуя так делаешь, какие менты-то, блядь? Ну, пятьсот рублей оштрафовали, я грю, да мне по хуй эти штрафы-то. Щас, блядь, только к тебе, грю, этот хуй придёт, блядь, будет мозги ебать, блядь. Ходит по квартирам там, мозги начинает и, ну, и, и, (Юр), извини, на эмоциях.	звоню, вызвала. позвони, звонишь. ведут, водишь. вытворяет. говорю, смотрящий. не, прошу. звоню, делаешь. придёт, будет, ебать. ходит, начинает, извини
1	М	(нрзб.)	
1	Ж	Просто она меня заебала, знаешь, почему?	знаешь
1	М	А кто, а кто к ней вот ездит, вот этот, блядь, как его? Э-э, у мясника который был?	ездит
1	Ж	Мясник бывший, да, блядь. Расхуя-... Ты знаешь, почему я к тебе вот щас обращаюсь? Ты помнишь, мы как с тобой, это…	знаешь, обращаюсь. помнишь
1	М	Ну, я понял, понял.	
1	Ж	Ты мне гришь, помнишь, ты гришь, (Маринка), блядь, баба плачет.	гришь, помнишь, гришь, плачет
1	М	(нрзб.)	
1	Ж	Я перед тобой не плачу никогда, на хуй. И не буду плакать, блядь.	не, буду, плакать
1	М	Не, я…	
1	Ж	Вот понимаешь? Ну эта сука, блядь, ты чё, блядь, творишь-то, на хуй.	понимаешь. творишь-то
1	М	Всё, я тя услышал.	
1	Ж	(Юр), я не…	
1	М	Ладно, я раз-… 	
1	Ж	… я не хочу, чтобы, нет, ты, это, ты меня просто пойми, на хуя мне вот это?	не, хочу, нет, пойми
1	М	Да я её теперь сам разъебу. (нрзб.) 	разъебу
1	Ж	П-, э-, э-, эти, блядь, это, менты, блядь.	
1	М	Не, не, вот в том-то и дело. Как тогда она мне позвонила, а как тут, она ментам звонит. Я ей щас теперь устрою, на хуй. Она охуеет у меня.	звонит. устрою. охуеет
